,Date,bitcoin_Price,ethereum_Price,avax_Price,binance_Price,doge_Price,cardano_Price,polkadot_Price,ripple_Price,solana_Price,tron_Price
32,2023-11-23 00:00:00 UTC+0,37300.04111711,2062.85267458,20.67306277,233.8180361,0.07619799,0.38651056,5.1346854,0.62032401,56.57683969,0.10211756
33,2023-11-22 00:00:00 UTC+0,37436.61532266,2065.83451641,20.82775894,236.27007041,0.07574109,0.3803153,5.17029603,0.61199016,57.5767828,0.10123721
34,2023-11-21 00:00:00 UTC+0,35907.4805761,1940.73567764,19.08892034,227.55965373,0.07218914,0.3589225,4.89503902,0.58130089,52.12893537,0.09630332
35,2023-11-20 00:00:00 UTC+0,37486.11980774,2023.42962804,20.83266647,253.25254084,0.07771603,0.38019406,5.29960611,0.6123897,56.45225339,0.10098383
36,2023-11-19 00:00:00 UTC+0,37446.57401224,2013.39489522,22.92591108,246.75809474,0.08049796,0.38465676,5.44730639,0.62753004,61.50189678,0.10351685
37,2023-11-18 00:00:00 UTC+0,36592.43534726,1963.33428477,22.0201999,245.03657385,0.08023226,0.37745901,5.2947454,0.61113251,58.54165712,0.1030097
38,2023-11-17 00:00:00 UTC+0,36604.91262673,1961.09796826,21.97071894,244.90334907,0.08641387,0.36712776,5.24807571,0.61388493,58.58082452,0.1037992
39,2023-11-16 00:00:00 UTC+0,36196.98708263,1961.00028635,21.63920963,242.83052808,0.0788262,0.37103737,5.3545048,0.61209451,57.79025651,0.10239761
40,2023-11-15 00:00:00 UTC+0,37883.5759767,2059.66784444,20.71502513,253.78218442,0.07630708,0.37899316,5.56326728,0.64842367,65.6159842,0.10417275
41,2023-11-14 00:00:00 UTC+0,35542.16941711,1979.8836061,17.07305053,242.24307491,0.07242249,0.35771479,5.19681923,0.62919858,56.82121438,0.10228026
42,2023-11-13 00:00:00 UTC+0,36487.58734909,2055.01421324,16.16767687,240.85866126,0.07457502,0.35743614,5.35467126,0.67036372,51.68552405,0.10689764
43,2023-11-12 00:00:00 UTC+0,37072.07384165,2046.24479077,18.902008,247.64121629,0.07796401,0.3836993,5.71386082,0.66184924,56.34654841,0.10842485
44,2023-11-11 00:00:00 UTC+0,37171.31102316,2054.29649591,16.83558375,251.68301253,0.0785948,0.38445845,5.56207638,0.66284033,56.14639481,0.10809065
45,2023-11-10 00:00:00 UTC+0,37335.74191433,2079.40952908,14.72734567,251.1835483,0.07549203,0.38623783,5.29868381,0.66022494,56.70819729,0.10634372
46,2023-11-09 00:00:00 UTC+0,36707.54189176,2120.79575852,12.96783459,251.57562147,0.0735906,0.36832182,5.08846288,0.66680245,45.33645341,0.09893224
47,2023-11-08 00:00:00 UTC+0,35655.16954764,1889.66578698,12.99668087,246.80107974,0.07531529,0.35785614,5.03674891,0.68782417,43.15994031,0.09838745
48,2023-11-07 00:00:00 UTC+0,35445.69636696,1887.73264328,12.82022305,246.38912977,0.07348156,0.35149738,4.93180196,0.68571547,42.99856838,0.09664958
49,2023-11-06 00:00:00 UTC+0,35047.91673539,1900.15612101,13.07822351,255.03511231,0.07648263,0.36276169,4.96794582,0.71524188,42.14925415,0.0977181
50,2023-11-05 00:00:00 UTC+0,35048.08070079,1894.08717057,12.35333123,244.18232658,0.07113389,0.34198843,4.76711894,0.66141899,41.20292008,0.09814516
51,2023-11-04 00:00:00 UTC+0,35091.86244558,1858.2785714,12.21978155,237.37666879,0.06913246,0.32827953,4.69206083,0.61579677,42.43688629,0.09776716
52,2023-11-03 00:00:00 UTC+0,34741.76883088,1833.51564539,12.10909004,230.47681281,0.06814534,0.32888382,4.61350051,0.61290328,39.47828888,0.09728474
53,2023-11-02 00:00:00 UTC+0,34941.98550459,1800.82990563,11.89111667,231.79362037,0.06792156,0.3230302,4.6332154,0.60591933,40.23581172,0.09922589
54,2023-11-01 00:00:00 UTC+0,35415.78292614,1846.57051836,12.22625367,228.03586975,0.06890469,0.30722801,4.72861069,0.60894716,41.30471828,0.10018225
55,2023-10-31 00:00:00 UTC+0,34671.23246894,1816.52504909,11.33153136,226.50117176,0.06830424,0.29330392,4.45285056,0.60011704,38.45660912,0.09724529
56,2023-10-30 00:00:00 UTC+0,34495.32559169,1809.86531435,11.4605783,228.12941182,0.06964418,0.30258247,4.52775384,0.57846793,34.95185098,0.09561604
57,2023-10-29 00:00:00 UTC+0,34534.43500972,1795.39758626,11.3707324,227.18095408,0.06937255,0.29530603,4.31496234,0.55610065,32.84076806,0.0948761
58,2023-10-28 00:00:00 UTC+0,34102.38769575,1777.27474052,10.98400665,225.75453866,0.06906749,0.29143293,4.18232739,0.54543841,31.66478835,0.09439845
59,2023-10-27 00:00:00 UTC+0,33908.75577169,1780.38354744,10.59323321,224.47699426,0.0678519,0.28954922,4.13808682,0.54498039,31.72684821,0.0935818
60,2023-10-26 00:00:00 UTC+0,34153.69392246,1803.67007091,11.05086643,223.13993993,0.07186025,0.28715711,4.23564097,0.5532856,32.75891058,0.09288208
61,2023-10-25 00:00:00 UTC+0,34507.50321289,1787.62703911,10.51834742,222.20428509,0.06834976,0.28083581,4.28874205,0.55563894,32.41811924,0.09351792
62,2023-10-24 00:00:00 UTC+0,33899.0627913,1783.95494398,10.32433337,225.06427684,0.06657481,0.27918609,4.18774916,0.55934969,30.16926462,0.09233595
63,2023-10-23 00:00:00 UTC+0,33080.55818304,1765.53172111,10.59184582,228.44508348,0.06721592,0.28055489,4.36099287,0.54724317,31.90139327,0.09223624
64,2023-10-22 00:00:00 UTC+0,29989.39006306,1663.09815445,10.06819767,217.77626967,0.06159389,0.26358493,3.9666113,0.52188281,29.04227857,0.09037693
65,2023-10-21 00:00:00 UTC+0,29924.77147706,1629.3756912,9.6348293,214.29003264,0.06120814,0.25859763,3.90415168,0.52106271,29.34646269,0.09164142
66,2023-10-20 00:00:00 UTC+0,29685.08342989,1604.86097834,9.22487191,212.13320291,0.0599995,0.25125506,3.72044001,0.51574929,27.0436902,0.09075294
67,2023-10-19 00:00:00 UTC+0,28718.57691291,1567.2707336,9.06626417,211.27807206,0.05890561,0.24696148,3.65060874,0.51988908,24.92659127,0.09000954
68,2023-10-18 00:00:00 UTC+0,28329.11077177,1563.82634821,8.9112399,210.37503732,0.05861688,0.24305734,3.65443566,0.48788213,23.41617523,0.08918873
69,2023-10-17 00:00:00 UTC+0,28417.61450739,1565.63261116,9.10793739,211.70747898,0.05909979,0.24653493,3.67507634,0.49154184,23.9576421,0.08867192
70,2023-10-16 00:00:00 UTC+0,28514.0209083,1600.32293875,9.40720704,214.77377483,0.06008727,0.25137742,3.77972109,0.49803053,23.95551953,0.08891238
71,2023-10-15 00:00:00 UTC+0,27157.45548732,1557.68368683,9.17353945,209.7335765,0.05930062,0.2473407,3.75212456,0.48739487,21.9208107,0.08669854
72,2023-10-14 00:00:00 UTC+0,26865.052825,1555.7517711,9.14715896,206.61136343,0.05987213,0.24705256,3.73510802,0.48679712,21.99378493,0.08505542
73,2023-10-13 00:00:00 UTC+0,26863.15626338,1552.25962252,9.15367731,206.02644982,0.05839465,0.24593922,3.72056544,0.48538968,21.84156627,0.08550442
74,2023-10-12 00:00:00 UTC+0,26748.66522691,1539.2699543,9.11340338,205.18949764,0.05787323,0.24591262,3.67475742,0.48276918,21.29593549,0.08482423
75,2023-10-11 00:00:00 UTC+0,26873.15938099,1566.35024378,9.30565633,206.44910246,0.05848361,0.24793816,3.73871234,0.48885852,22.0186535,0.08600702
76,2023-10-10 00:00:00 UTC+0,27393.98200091,1567.82478972,9.52378487,208.62758565,0.05902676,0.24919022,3.81082462,0.49682384,22.09125619,0.08624902
77,2023-10-09 00:00:00 UTC+0,27580.16904213,1579.42055294,9.53655681,205.69729366,0.05871416,0.25133067,3.87572257,0.50265572,22.0912944,0.08611111
